% ============================================================================================
% DATA WAREHOUSING AND MINING LABORATORY
% Experiment 4: Decision Tree Classification using J-48 Algorithm
% ============================================================================================
%
% Author: Amey Thakur
% GitHub: https://github.com/Amey-Thakur
% Repository: https://github.com/Amey-Thakur/DATA-WAREHOUSING-AND-MINING-AND-DATA-WAREHOUSING-AND-MINING-LAB
% 
% Course: Data Warehousing and Mining Lab (CSL603)
% Semester: VI | Institution: Terna Engineering College | University: Mumbai
% Date: April 10, 2021
%
% ============================================================================================
% AIM:
% Implementation of Decision Tree Algorithm using J-48 in WEKA tool.
%
% DATASET:
% The famous Iris flower dataset - a multivariate dataset introduced by Ronald Fisher.
% Contains 150 instances of iris flowers with 4 features and 3 classes.
%
% ATTRIBUTES:
% 1. sepallength - Sepal length in cm (REAL)
% 2. sepalwidth  - Sepal width in cm (REAL)
% 3. petallength - Petal length in cm (REAL)
% 4. petalwidth  - Petal width in cm (REAL)
% 5. class       - Species of iris flower (NOMINAL)
%    - Iris-setosa
%    - Iris-versicolor
%    - Iris-virginica
%
% WEKA USAGE INSTRUCTIONS:
% 1. Open WEKA Explorer
% 2. Click "Open file..." and load this .arff file
% 3. Go to "Classify" tab
% 4. Click "Choose" button and select: trees > J48
% 5. Set test options (e.g., 10-fold cross-validation)
% 6. Click "Start" to build the decision tree model
% 7. View the results in the output area
% ============================================================================================

@RELATION iris

@ATTRIBUTE sepallength REAL
@ATTRIBUTE sepalwidth REAL
@ATTRIBUTE petallength REAL
@ATTRIBUTE petalwidth REAL
@ATTRIBUTE class {Iris-setosa,Iris-versicolor,Iris-virginica}

@DATA
% Iris-setosa samples (50 instances)
5.1,3.5,1.4,0.2,Iris-setosa
4.9,3.0,1.4,0.2,Iris-setosa
4.7,3.2,1.3,0.2,Iris-setosa
4.6,3.1,1.5,0.2,Iris-setosa
5.0,3.6,1.4,0.2,Iris-setosa
5.4,3.9,1.7,0.4,Iris-setosa
4.6,3.4,1.4,0.3,Iris-setosa
5.0,3.4,1.5,0.2,Iris-setosa
4.4,2.9,1.4,0.2,Iris-setosa
4.9,3.1,1.5,0.1,Iris-setosa
5.4,3.7,1.5,0.2,Iris-setosa
4.8,3.4,1.6,0.2,Iris-setosa
4.8,3.0,1.4,0.1,Iris-setosa
4.3,3.0,1.1,0.1,Iris-setosa
5.8,4.0,1.2,0.2,Iris-setosa
5.7,4.4,1.5,0.4,Iris-setosa
5.4,3.9,1.3,0.4,Iris-setosa
5.1,3.5,1.4,0.3,Iris-setosa
5.7,3.8,1.7,0.3,Iris-setosa
5.1,3.8,1.5,0.3,Iris-setosa
5.4,3.4,1.7,0.2,Iris-setosa
5.1,3.7,1.5,0.4,Iris-setosa
4.6,3.6,1.0,0.2,Iris-setosa
5.1,3.3,1.7,0.5,Iris-setosa
4.8,3.4,1.9,0.2,Iris-setosa
5.0,3.0,1.6,0.2,Iris-setosa
5.0,3.4,1.6,0.4,Iris-setosa
5.2,3.5,1.5,0.2,Iris-setosa
5.2,3.4,1.4,0.2,Iris-setosa
4.7,3.2,1.6,0.2,Iris-setosa
4.8,3.1,1.6,0.2,Iris-setosa
5.4,3.4,1.5,0.4,Iris-setosa
5.2,4.1,1.5,0.1,Iris-setosa
5.5,4.2,1.4,0.2,Iris-setosa
